ID,Cluster
1448970,14
1449119,15
1449189,3
1449276,7
1449432,3
1449508,6
1449509,12
1449618,15
1449635,4
1449710,2
1449721,7
1449726,7
1449839,7
1449922,4
1449936,14
1449996,15
1450015,3
1450124,11
1450194,5
1450318,11
1450393,14
1450458,11
1450466,3
1450514,3
1450517,2
1450590,10
1450609,15
1450672,11
1450719,2
1450775,12
1450782,12
1450980,11
1451011,14
1451085,11
1451133,7
1451217,12
1451301,14
1451318,7
1451357,9
1451421,16
1451428,16
1451432,12
1451611,5
1451719,7
1451774,5
1451840,7
1451939,12
1452055,12
1452117,2
1452178,2
1452245,4
1452266,12
1452276,11
1452292,1
1452363,11
1452398,10
1452415,12
1452425,7
1452443,3
1452521,7
1452554,16
1452824,7
1452825,5
1453110,11
1453145,2
1453170,2
1453204,12
1453323,2
1453355,7
1453358,2
1453441,10
1453594,2
1453665,3
1453672,11
1453682,2
1453794,13
1453804,4
1453846,12
1454098,10
1454260,12
1454334,2
1454382,2
1454488,2
1454544,7
1454591,12
1454696,12
1454742,11
1455024,2
1455130,2
1455260,12
1455438,3
1455533,2
1455552,3
1455601,7
1455616,7
1455747,11
1455805,9
1455926,11
1455973,11
1456067,1
1456147,5
1456305,2
1456433,7
1456445,11
1456449,11
1456511,12
1456709,15
1456777,11
1456817,12
1456822,12
1456886,11
1457017,14
1457144,11
1457153,11
1457303,9
1457331,11
1457363,16
1457391,13
1457490,2
1457522,15
1457555,7
1457621,12
1457827,6
1457963,14
1457965,11
1458112,12
1458131,12
1458221,5
1458270,1
1458377,2
1458425,6
1458427,10
1458458,12
1458508,10
1458554,2
1458848,6
1458868,12
1459020,6
1459159,7
1459223,10
1459268,12
1459355,11
1459381,7
1459410,11
1459449,15
1459494,12
1459663,6
1459668,12
1459721,10
1459759,11
1459801,3
1459874,10
1459915,13
1460146,12
1460220,12
1460265,6
1460278,4
1460321,11
1460382,11
1460389,9
1460450,7
1460581,11
1460782,11
1460809,10
1460846,4
1460865,7
1461028,2
1461132,2
1461135,12
1461170,1
1461178,12
1461226,7
1461269,12
1461336,7
1461354,7
1461526,10
1461545,10
1461689,2
1461786,12
1461802,9
1461820,15
1461855,5
1461933,11
1462097,12
1462214,12
1462219,11
1462318,12
1462383,12
1462386,11
1462441,12
1462624,2
1462850,5
1462936,2
1462965,2
1462994,2
1463071,9
1463285,1
1463325,10
1463482,2
1463609,10
1463638,4
1463658,8
1463706,6
1463737,14
1463764,7
1463805,16
1463924,11
1464016,11
1464067,13
1464182,3
1464192,12
1464248,11
1464492,2
1464503,2
1464559,12
1464641,2
1464682,16
1464738,12
1464740,2
1464758,7
1464784,2
1464822,2
1464829,11
1464848,11
1464952,5
1464956,2
1464957,13
1464989,2
1465342,14
1465343,13
1465345,11
1465437,11
1465463,2
1465479,6
1465488,16
1465541,12
1465544,11
1465556,10
1465559,13
1465613,1
1465614,7
1465668,14
1465681,6
1465885,15
1465953,2
1466359,2
1466382,3
1466631,15
1466636,14
1466658,4
1466794,2
1466863,15
1466954,2
1467022,2
1467024,3
1467025,2
1467044,8
1467103,10
1467124,2
1467163,8
1467225,2
1467298,2
1467436,8
1467456,12
1467507,12
1467533,2
1467548,6
1467626,2
1467642,2
1467647,15
1467752,2
1467763,2
1467786,2
1467843,2
1467876,12
1467897,6
1467921,10
1467993,4
